id	nume	nume_act	an_inf	an_disp	hram	stare	id_bis	mahala	nr_case	nr_b	nr_f	nr_tot	tip	info	nr_preoti	nr_diaconi
54	Sfîntul Ioan Nou	Sfîntul Ioan Nou	1774	1986	Nașterea Sfîntului Ioan	mutată	B051	Mahalaua Sfîntul Ioan Nou	53	234	168	402	zid	toate orînduelile bune	4	0
55	Sfîntul Gheorghe Vechi	Sfîntul Gheorghe Vechi	1562	lipsă	Sfîntul Mare Mucenic Gheorghe	existentă	B064	Mahalaua Sfîntul Gheorghe Vechiu	170	503	284	787	zid	toate orînduelile bune	5	0
56	Dobroteasa	Dobroteasa	1730	lipsă	Bunavestire	existentă	B074	Mahalaua Dobroteasa	164	372	382	754	zid	neîndestulată cu toate orînduelile	4	0
57	Mănăstirea Antim	Antim	1713	lipsă	Toți Sfinții	existentă	B049	Mahalaua Anthim	17	45	54	99	zid	toate deplin	1	0
58	Sfîntul Ilie	Sfîntul Ilie-Rahova	1706	1984	Sfîntul Prooroc Ilie	mutată	B055	Mahalaua Sfîntul Proroc Ilie	82	175	214	389	zid	toate orînduelile bune	3	0
59	Mănăstirea Radu Vodă	Radu Vodă	1568	lipsă	Sfînta Troiță	existentă	B061	Mahalaua Mănăstirea Radu Vodă	46	182	179	361	zid	toate orînduelile bune	1	0
60	Gorgani	Gorgani	1639	lipsă	Sfîntul Prooroc Ilie	existentă	B001	Mahalaua Gorganului	114	298	316	614	zid	toate deplin	3	0
61	Cărămidarii de Sus	Cărămidarii de Sus	1805	lipsă	Izvorul Precistii	existentă	B014	Mahalaua Cărămidarilor	30	35	45	80	zid	toate deplin	1	0
62	Popa Rusu	Popa Rusu	1718	lipsă	Cuvioasa Parascheva	existentă	B029	Mahalaua Popa Rusul	71	143	120	263	lemn	toate deplin	2	0
63	Mănăstirea Sfinții Apostoli	Tîrnovului	1626	lipsă	Sfinții Apostoli	existentă	B048	Mahalaua Mănăstirea Sfinții Apostoli	78	181	240	421	zid	toate deplin	1	0
64	Sfîntul Visarion	Sfîntul Visarion Vechi	1797	lipsă	Sfîntul Visarion	existentă	B033	Mahalaua Sfîntul Visarion	90	222	244	466	zid	toate deplin	3	0
65	Pușcăriei	Sfîntul Anton a Pușcăriei	1735	1847	Sfîntul Antonie	dispărută	B024	Mahalaua Pușcării	lipsă	lipsă	lipsă	lipsă	zid	toate deplin	2	0
66	Stelea	Stelea	1577	1847	Adormirea Precistii	dispărută	B065	Mahalaua Stelii	39	123	127	250	zid	toate orînduelile bune	2	0
67	Sfîntul Sava	Sfîntul Sava	1656	1869	Sfîntul Sava	dispărută	B047	Mahalaua Sfîntul Sava	37	94	91	185	zid	toate deplin	1	0
68	Greci	Greci	1560	1863	Nașterea lui Hristos	dispărută	B044	Mahalaua Biserica Grecii	43	94	49	143	zid	toate deplin	2	0
69	Măgureanului	Măgureanului	1686	1881	Schimbarea la față	dispărută	B022	Mahalaua Măgureanului	35	102	88	190	zid	toate deplin	2	0
70	Caimata	Caimata	1730	1890	Adormirea Precistii	dispărută	B032	Mahalaua Caimata	113	230	181	411	zid	toate deplin	3	0
71	Sfîntul Ioan cel Mare	Sfîntul Ioan cel Mare	1591	1895	Sfîntul  Ioan Botezătorul	dispărută	B045	Mahalaua Sfîntul Ioan cel Mare	54	140	56	196	zid	toate deplin	1	0
72	Brezoianu	Sfînta Troiță-Brezoianu	1710	1960	Sfînta Troiță	dispărută	B006	Mahalaua Brezoianului	29	64	77	141	zid	toate deplin	2	0
73	Moldoveni	Sf. Ionică-Moldoveni	1774	1938	Sfîntul  Ioan Botezătorul	dispărută	B005	Mahalaua Moldovenilor	7	39	44	83	zid	toate deplin	2	0
74	Stejarul	Stejarul	1691	1960	Înălțarea Crucii	dispărută	B007	Mahalaua Stejarul	43	159	167	326	zid	toate deplin	2	0
75	Ianii	Enei	1670	1977	Sfîntul Ierarh Nicolae	dispărută	B017	Mahalaua Bisericii Ianii	44	182	181	363	zid	toate deplin	2	0
76	Postăvari	Sfîntul Nicolae Alba-Postăvari	1568	1984	Sfîntul Ierarh Nicolae	dispărută	B013	Mahalaua Postăvarilor	125	128	129	257	zid	toate deplin	3	0
77	Izvor	Izvor	1794	1984	Izvorul Precistii	dispărută	B003	Mahalaua Izvoru	115	216	290	506	zid	toate deplin	3	0
78	Sfînta Vineri	Sfînta Vineri	1645	1987	Cuvioasa Parascheva	dispărută	B067	Mahalaua Sfînta Vineri	37	166	164	330	zid	toate orînduelile bune	4	0
79	Olteni	Olteni	1722	1987	Adormirea Precistii	dispărută	B070	Mahalaua Oltenilor	80	129	172	301	zid	toate orînduelile bune	2	0
80	Staicului	Bradu Staicu	1726	1987	Intrarea în Biserică	dispărută	B072	Mahalaua Staicului	88	234	207	441	zid	neîndestulată cu veșminte și cărți	3	0
81	Biserica-Nouă	Sfînta Troiță-Dudești	1804	1987	Sfînta Troiță	dispărută	B073	Mahalaua Biserica-Noao	67	113	118	231	zid	neîndestulată cu veșminte și cărți	3	0
82	Sîrbi	Sîrbi	1692	1985	Sfîntul Ierarh Nicolae	dispărută	B071	Mahalaua Sîrbilor	117	302	315	617	zid	toate orînduelile bune	3	0
83	Protopopului	Sfîntul Nicolae Jitniță	1712	1986	Sfîntul Ierarh Nicolae	dispărută	B069	Mahalaua Protopopului	154	463	426	889	zid	neîndestulată cu odoare	3	0
84	Mănăstirea Sfîntul Spiridon	Sfîntul Spiridon Vechi	1747	1987	Sfîntul Ierarh Spiridon	dispărută	B052	Mahalaua Sfîntul Spiridon Nou	41	99	96	195	zid	toate orînduelile bune	2	0
85	Vlădicăi	Sfîntul Nicolae Vlădica din Prund	1787	lipsă	Sfîntul Ierarh Nicolae	existentă	B056	Mahalaua Vlădicăi	151	209	196	405	zid	toate orînduelile bune	3	0
86	Cărămidarii de Jos	Cărămidarii de Jos	1711	lipsă	Sfîntul Mare Mucenic Dimitrie	existentă	B063	Mahalaua Cărămidarii de Jos	136	248	267	515	lemn	neîndestulată cu cele trebuincioase	4	0
87	Silivestru	Silivestru	1743	lipsă	Sfîntul Ioan Botezătorul	existentă	B039	Mahalaua Silivestrului	123	222	195	417	zid	toate deplin	4	0
88	Boteanu	Boteanu	1682	lipsă	Sfîntul Mare Mucenic Gheorghe	existentă	B019	Mahalaua Boteanului	48	137	200	337	zid	toate deplin	2	0
89	Prund	Prund	1682	1899	Sfîntul Ierarh Nicolae	dispărută	B054	Mahalaua Prundul	29	126	88	214	zid	toate orînduelile bune	3	0
